UTC,latitude,longitude,CTEratio
1.6776e+06,39.60031509,-19.81805420,0.01756760
1.6812e+06,39.57209778,-19.83232880,0.01708790
1.6848e+06,39.54389572,-19.84659195,0.01660823
1.6884e+06,39.51570892,-19.86085320,0.01612499
1.692e+06,39.48753357,-19.87511635,0.01563919
1.6956e+06,39.45932770,-19.88937759,0.01515304
1.6992e+06,39.43109512,-19.90363693,0.01466758
1.7028e+06,39.40287399,-19.91787910,0.01418202
1.7064e+06,39.37467194,-19.93211937,0.01369340
1.71e+06,39.34647369,-19.94635391,0.01320374
1.7136e+06,39.31825256,-19.96059990,0.01271185
1.7172e+06,39.29004669,-19.97483635,0.01221791
1.7208e+06,39.26183701,-19.98903847,0.01172775
1.7244e+06,39.23363876,-20.00323677,0.01123587
1.728e+06,39.20543671,-20.01743507,0.01074249
1.7316e+06,39.17720413,-20.03163528,0.01024847
1.7352e+06,39.14900589,-20.04583359,0.00975046
1.7388e+06,39.12079620,-20.06001282,0.00925456
1.7424e+06,39.09259415,-20.07419205,0.00875638
1.746e+06,39.06438065,-20.08836746,0.00825754
1.7496e+06,39.03619003,-20.10254860,0.00775337
1.7532e+06,39.00798035,-20.11672401,0.00725018
1.7568e+06,38.97977448,-20.13089371,0.00674532
1.7604e+06,38.95157242,-20.14505005,0.00624053
1.764e+06,38.92337418,-20.15919495,0.00573643
1.7676e+06,38.89517975,-20.17333603,0.00522938
1.7712e+06,38.86697006,-20.18747520,0.00472233
1.7748e+06,38.83879852,-20.20160866,0.00421164
1.7784e+06,38.81060791,-20.21573067,0.00370170
1.782e+06,38.78240585,-20.22985077,0.00319132
1.7856e+06,38.75420761,-20.24397278,0.00267871
1.7892e+06,38.72599411,-20.25800133,0.00218003
1.7928e+06,38.69766235,-20.27155685,0.00176552
1.7964e+06,38.66933441,-20.28510094,0.00135093
1.8e+06,38.64101028,-20.29864311,0.00093518
1.8036e+06,38.61270905,-20.31217575,0.00051727
1.8072e+06,38.58439255,-20.32569885,0.00010041
1.8108e+06,38.55603409,-20.33921814,0.00031568
1.8144e+06,38.52771378,-20.35272598,0.00073450
1.818e+06,38.49939346,-20.36622810,0.00115262
1.8216e+06,38.47107315,-20.37973595,0.00157497
1.8252e+06,38.44274139,-20.39323997,0.00199806
1.8288e+06,38.41439438,-20.40674591,0.00242095
1.8324e+06,38.38605499,-20.42024803,0.00284658
1.836e+06,38.35773849,-20.43372726,0.00327173
1.8396e+06,38.32942200,-20.44721031,0.00369918
1.8432e+06,38.30107498,-20.46069145,0.00412636
1.8468e+06,38.27273560,-20.47416306,0.00455414
1.8504e+06,38.24440765,-20.48761940,0.00498137
1.854e+06,38.21606827,-20.50107574,0.00541027
1.8576e+06,38.18773270,-20.51452065,0.00583961
1.8612e+06,38.15938187,-20.52796364,0.00626912
1.8648e+06,38.13103485,-20.54140854,0.00670145
1.8684e+06,38.10268784,-20.55485344,0.00713501
1.872e+06,38.07436371,-20.56829643,0.00757195
1.8756e+06,38.04603958,-20.58172798,0.00800908
1.8792e+06,38.01768875,-20.59514427,0.00844327
1.8828e+06,37.98935699,-20.60856438,0.00888166
1.8864e+06,37.96103287,-20.62198257,0.00932178
1.89e+06,37.93270493,-20.63540077,0.00976272
1.8936e+06,37.90436935,-20.64879990,0.01020260
1.8972e+06,37.87602997,-20.66218948,0.01064251
1.9008e+06,37.84770966,-20.67556953,0.01108438
1.9044e+06,37.81938553,-20.68895149,0.01152691
1.908e+06,37.79106140,-20.70233154,0.01197141
1.9116e+06,37.76272583,-20.71571350,0.01241759
1.9152e+06,37.73440170,-20.72909546,0.01286580
1.9188e+06,37.70608139,-20.74246597,0.01331462
1.9224e+06,37.67778397,-20.75583267,0.01376591
1.926e+06,37.64945602,-20.76919937,0.01421700
1.9296e+06,37.62110519,-20.78256607,0.01466900
1.9332e+06,37.59277344,-20.79592896,0.01512274
1.9368e+06,37.56444168,-20.80927467,0.01557564
1.9404e+06,37.53614044,-20.82259560,0.01602820
1.944e+06,37.50782394,-20.83591461,0.01648086
1.9476e+06,37.47948837,-20.84923553,0.01693549
1.9512e+06,37.45115280,-20.86255646,0.01739131
1.9548e+06,37.42281723,-20.87587738,0.01784786
1.9584e+06,37.39452744,-20.88919830,0.01831015
1.962e+06,37.36619186,-20.90250206,0.01876806
1.9656e+06,37.33785248,-20.91580009,0.01922737
1.9692e+06,37.30953598,-20.92909813,0.01968929
1.9728e+06,37.28110504,-20.94198418,0.02007568
1.9764e+06,37.25263596,-20.95473099,0.02043815
1.98e+06,37.22418976,-20.96746635,0.02080137
1.9836e+06,37.19576645,-20.98019218,0.02116671
1.9872e+06,37.16730499,-20.99291801,0.02153070
1.9908e+06,37.13883591,-21.00562668,0.02189357
1.9944e+06,37.11035919,-21.01832962,0.02225639
1.998e+06,37.08189392,-21.03103256,0.02262141
2.0016e+06,37.05342865,-21.04373550,0.02298871
2.0052e+06,37.02497864,-21.05643845,0.02335805
2.0088e+06,36.99652100,-21.06914139,0.02372947
2.0124e+06,36.96807098,-21.08183861,0.02410164
2.016e+06,36.93962097,-21.09452438,0.02447355
2.0196e+06,36.91117859,-21.10721016,0.02484738
2.0232e+06,36.88271332,-21.11989784,0.02522154
2.0268e+06,36.85425186,-21.13257027,0.02559535
2.0304e+06,36.82580185,-21.14523315,0.02597050
2.034e+06,36.79735565,-21.15789604,0.02634699
2.0376e+06,36.76891708,-21.17054176,0.02672300
